book_id,t_book_id,book_title,lang,book_source,country,tags,判定A_日本オリジナルタグ,判定B_t_book_id_14000,判定C_lang_ja,判定D_国タグ日本,タグで日本オリジナル,ID形式で日本向け,日本語版,撮影地が日本
684a3b2d2efda0672f0fc1ae,140000000000000260,女王は泣かない,ja,1,アメリカ合衆国,女性向けのドラマ|悪女ヒロイン|モダン|家庭主婦|浮気|三角関係|天才ベビー,○,○,○,×,True,True,True,False
684a3b45ec8c6e2bea08f201,140000000000000256,禁断の教授と一夜の果てに,ja,1,アメリカ合衆国,女性向けのドラマ|甘いロマンス|モダン|年齢差|タブー|ワンナイトラブ|学生,○,○,○,×,True,True,True,False
6854d016c1a594aac4051304,140000000000000261,マフィア王の秘密,ja,1,アメリカ合衆国,官能小説,○,○,○,×,True,True,True,False
6865ea9b646f994bf80df0e8,140000000000000276,ホームレスの夫と出会うまで,ja,1,アメリカ合衆国,甘いロマンス,○,○,○,×,True,True,True,False
686f5bc3436e74281e0570e3,140000000000000268,私が消えても探さないで,ja,1,アメリカ合衆国,家族ドラマ,○,○,○,×,True,True,True,False
689c37d908c8421f9b0287b6,140000000000000295,女王と母とルール,ja,1,,悪女ヒロイン,○,○,○,×,True,True,True,False
68ae5c9b8a154901600630ad,140000000000000310,独身大富豪の子供を妊娠,ja,1,アメリカ合衆国,甘いロマンス,○,○,○,×,True,True,True,False
68f6f7b8794cc55960091d51,140000000000000346,妻に裏切られた後、俺の新生！,ja,1,アメリカ合衆国,立身出世,○,○,○,×,True,True,True,False
69312ca9f4595c76860d8989,140000000000002395,元カレの義父を惑わして,ja,1,アメリカ合衆国,甘いロマンス,○,○,○,×,True,True,True,False
6932812bc9016563a801de80,140000000000002396,アメリカン・スナイパー：最後の一弾,ja,1,アメリカ合衆国,カムバックストーリー,○,○,○,×,True,True,True,False
675aa12ebd7b6cfdea03e948,140000000000000144,イケメンプレイボーイ、 突然パパになった!?,ja,1,アメリカ合衆国,女性向けのドラマ|ヤングアダルト|キャンパス|妊娠|ワンナイトラブ|偽りの恋人|学園ハンサム|ストロングウィル,○,○,○,×,True,True,True,False
67e0c64411276a4cd60a756f,140000000000000197,地味な清掃員実はCEO！？,ja,1,アメリカ合衆国,女性向けのドラマ|悪女ヒロイン|モダン|敵から恋人へ|身分を隠せ|初恋|相続人/社会人|億万長者,○,○,○,×,True,True,True,False
680eea7e9107472fd50e3dd2,140000000000000212,ボスの赤ちゃんを妊娠しました！？,ja,1,アメリカ合衆国,女性向けのドラマ|甘いロマンス|モダン|オフィスラブ|妊娠|身分を隠せ|三角関係,○,○,○,×,True,True,True,False
680eee8833811101e60d4487,140000000000000217,愛人と勘違いされた母,ja,1,アジア,女性向けのドラマ|悪女ヒロイン|モダン|人違い|とぼける|億万長者|インディペンデント・ウーマン,○,○,○,×,True,True,True,False
680eeea3b8f70328f80b6ce0,140000000000000218,愛のスピード違反 〜義兄との秘密の夜〜,ja,1,アメリカ合衆国,女性向けのドラマ|甘いロマンス|モダン|義理の兄弟姉妹|ダンサー|タブー|禁じられた,○,○,○,×,True,True,True,False
681d6bcc5de50814b60eaca2,140000000000000226,処女の代理母、相手は億万長者,ja,1,アメリカ合衆国,女性向けのドラマ|甘いロマンス|モダン|三角関係|学生|億万長者,○,○,○,×,True,True,True,False
6854d03628e76fc26100a6c3,140000000000000262,名を隠した公爵の復讐,ja,1,ヨーロッパ,家族ドラマ,○,○,○,×,True,True,True,False
6882ed3d7084837028003057,140000000000000288,隠れたイーグル,ja,1,アメリカ合衆国,カムバックストーリー,○,○,○,×,True,True,True,False
68a808bc91fd992e62026605,140000000000000302,元嫁が天才外科医な件,ja,1,アメリカ合衆国,悪女ヒロイン,○,○,○,×,True,True,True,False
